---------------------------------------
| Line number | Number of Parenthesis |
---------------------------------------
|           1 |                     9 |
|           2 |                     7 |
|           3 |                     7 |
|           4 |                     5 |
|           5 |                     0 |
|           6 |                     7 |
|           7 |                     0 |
|           8 |                     5 |
|           9 |                     5 |
|          10 |                     0 |
|          11 |                     2 |
|          12 |                     5 |
|          13 |                     3 |
|          14 |                     1 |
|          15 |                     0 |
|          16 |                     8 |
|          17 |                     1 |
|          18 |                     2 |
|          19 |                     2 |
|          20 |                     0 |
|          21 |                     6 |
|          22 |                     4 |
|          23 |                     5 |
|          24 |                     0 |
|          25 |                     0 |
|          26 |                     0 |
---------------------------------------
